"agno";"comuna";"nom_com";"city";"AVPP"
2007;1101;"Iquique";"Iquique - Alto Hospicio";5128,87729223566
2007;1107;"Alto Hospicio";"Iquique - Alto Hospicio";4365,22505323445
2007;2101;"Antofagasta";"Antofagasta";5837,5349420868
2007;3101;"Copiapó";"Copiapo";4714,18794798833
2007;4101;"La Serena";"Gran Coquimbo";4961,43246011669
2007;4102;"Coquimbo";"Gran Coquimbo";4484,13158606827
2007;5101;"Valparaíso";"Valparaíso Metropolitano";5468,92547194474
2007;5103;"Concón";"Valparaíso Metropolitano";3129,72957537337
2007;5109;"Viña del Mar";"Valparaíso Metropolitano";4295,86264742635
2007;5801;"Quilpué";"Valparaíso Metropolitano";4862,02365308804
2007;5804;"Villa Alemana";"Valparaíso Metropolitano";4077,1274517465
2007;6101;"Rancagua";"Rancagua - Machalí";5500,67047973509
2007;6108;"Machalí";"Rancagua - Machalí";3924,88262910798
2007;7101;"Talca";"Talca - Maule";4315,27315229139
2007;7105;"Maule";"Talca - Maule";5005,7099352874
2007;8101;"Concepción";"Gran Concepcion";4278,79177198397
2007;8102;"Coronel";"Gran Concepcion";4949,83664382571
2007;8103;"Chiguayante";"Gran Concepcion";4567,44537466945
2007;8106;"Lota";"Gran Concepcion";7933,68467281511
2007;8107;"Penco";"Gran Concepcion";4322,28651586884
2007;8108;"San Pedro de la Paz";"Gran Concepcion";5164,56251183276
2007;8110;"Talcahuano";"Gran Concepcion";4935,05986719304
2007;8111;"Tomé";"Gran Concepcion";5001,63514995287
2007;8112;"Hualpén";"Gran Concepcion";4992,27523231951
2007;9101;"Temuco";"Temuco";4955,69361403782
2007;9112;"Padre Las Casas";"Temuco";5267,79367679328
2007;10101;"Puerto Montt";"Puerto Montt - Varas";6152,43887364335
2007;10109;"Puerto Varas";"Puerto Montt - Varas";6460,76702666961
2007;11101;"Coihaique";"Coyhaique";4474,77834943899
2007;12101;"Punta Arenas";"Punta Arenas";6225,87442056469
2007;13101;"Santiago";"Gran Santiago";4084,59556512822
2007;13102;"Cerrillos";"Gran Santiago";4682,183939083
2007;13103;"Cerro Navia";"Gran Santiago";5880,89312430424
2007;13104;"Conchalí";"Gran Santiago";5831,0291858679
2007;13105;"El Bosque";"Gran Santiago";5614,20970933608
2007;13106;"Estación Central";"Gran Santiago";5430,05253211741
2007;13107;"Huechuraba";"Gran Santiago";5842,48290474815
2007;13108;"Independencia";"Gran Santiago";6565,95481700199
2007;13109;"La Cisterna";"Gran Santiago";4232,82302655726
2007;13110;"La Florida";"Gran Santiago";3486,40842442752
2007;13111;"La Granja";"Gran Santiago";5069,64187591084
2007;13112;"La Pintana";"Gran Santiago";5788,7437820935
2007;13113;"La Reina";"Gran Santiago";3215,03312622665
2007;13114;"Las Condes";"Gran Santiago";2598,5238147351
2007;13115;"Lo Barnechea";"Gran Santiago";2522,51408228033
2007;13116;"Lo Espejo";"Gran Santiago";5111,71039571512
2007;13117;"Lo Prado";"Gran Santiago";5402,64124714527
2007;13118;"Macul";"Gran Santiago";4094,98357552475
2007;13119;"Maipú";"Gran Santiago";3455,7156809418
2007;13120;"Ñuñoa";"Gran Santiago";2914,22517761272
2007;13121;"Pedro Aguirre Cerda";"Gran Santiago";4823,64565079602
2007;13122;"Peñalolén";"Gran Santiago";4340,69271939588
2007;13123;"Providencia";"Gran Santiago";3667,81276655616
2007;13124;"Pudahuel";"Gran Santiago";4079,79241310176
2007;13125;"Quilicura";"Gran Santiago";4547,38254863604
2007;13126;"Quinta Normal";"Gran Santiago";4663,87622978074
2007;13127;"Recoleta";"Gran Santiago";5408,16468267748
2007;13128;"Renca";"Gran Santiago";4530,06598092604
2007;13129;"San Joaquín";"Gran Santiago";5059,20458769182
2007;13130;"San Miguel";"Gran Santiago";4972,30946273165
2007;13131;"San Ramón";"Gran Santiago";5892,77998737024
2007;13132;"Vitacura";"Gran Santiago";2633,15608941254
2007;13201;"Puente Alto";"Gran Santiago";4263,74275538624
2007;13401;"San Bernardo";"Gran Santiago";5754,89899724962
2007;14101;"Valdivia";"Valdivia";5214,05575724365
2007;15101;"Arica";"Arica";4452,46690734055
2007;16101;"Chillán";"Chillán";5176,05023690453
2007;16102;"Bulnes";"Chillán";4648,16650148662
2007;16103;"Chillán Viejo";"Chillán";5290,64395613225
2007;16301;"San Carlos";"Chillán";6940,80084599272
2007;16305;"San Nicolás";"Chillán";3904,38247011952
