"agno";"comuna";"nom_com";"city";"AVPP"
2003;1101;"Iquique";"Iquique - Alto Hospicio";7082,16870592155
2003;2101;"Antofagasta";"Antofagasta";5243,66538212325
2003;3101;"Copiapó";"Copiapo";4247,58303416285
2003;4101;"La Serena";"Gran Coquimbo";4232,69071627793
2003;4102;"Coquimbo";"Gran Coquimbo";3743,73846559452
2003;5101;"Valparaíso";"Valparaíso Metropolitano";5764,89725260786
2003;5103;"Concón";"Valparaíso Metropolitano";2893,99853622835
2003;5109;"Viña del Mar";"Valparaíso Metropolitano";4578,43656255514
2003;5801;"Quilpué";"Valparaíso Metropolitano";3679,95186293604
2003;5804;"Villa Alemana";"Valparaíso Metropolitano";3525,70828961175
2003;6101;"Rancagua";"Rancagua - Machalí";6712,252042007
2003;6108;"Machalí";"Rancagua - Machalí";5447,82708217521
2003;7101;"Talca";"Talca - Maule";5124,96406229863
2003;7105;"Maule";"Talca - Maule";5546,58919733161
2003;8101;"Concepción";"Gran Concepcion";5636,61524458768
2003;8102;"Coronel";"Gran Concepcion";5549,17444364681
2003;8103;"Chiguayante";"Gran Concepcion";3920,94318558231
2003;8106;"Lota";"Gran Concepcion";6122,02387151874
2003;8107;"Penco";"Gran Concepcion";5402,80420850012
2003;8108;"San Pedro de la Paz";"Gran Concepcion";4209,68556561777
2003;8110;"Talcahuano";"Gran Concepcion";7564,15524261328
2003;8111;"Tomé";"Gran Concepcion";5219,92888064317
2003;9101;"Temuco";"Temuco";5260,97629683287
2003;9112;"Padre Las Casas";"Temuco";5311,99525332103
2003;10101;"Puerto Montt";"Puerto Montt - Varas";5601,63348872023
2003;10109;"Puerto Varas";"Puerto Montt - Varas";4484,62929475588
2003;11101;"Coihaique";"Coyhaique";5863,42509831963
2003;12101;"Punta Arenas";"Punta Arenas";6341,79939733104
2003;13101;"Santiago";"Gran Santiago";4606,97079261573
2003;13102;"Cerrillos";"Gran Santiago";4771,11540941328
2003;13103;"Cerro Navia";"Gran Santiago";5338,80481472093
2003;13104;"Conchalí";"Gran Santiago";5550,24495160712
2003;13105;"El Bosque";"Gran Santiago";4828,37276890389
2003;13106;"Estación Central";"Gran Santiago";5486,86045815114
2003;13107;"Huechuraba";"Gran Santiago";4903,83607588303
2003;13108;"Independencia";"Gran Santiago";7901,91146123605
2003;13109;"La Cisterna";"Gran Santiago";4434,26366869612
2003;13110;"La Florida";"Gran Santiago";4068,85372018903
2003;13111;"La Granja";"Gran Santiago";4016,50872702958
2003;13112;"La Pintana";"Gran Santiago";4503,60603420221
2003;13113;"La Reina";"Gran Santiago";3175,97482263829
2003;13114;"Las Condes";"Gran Santiago";2898,10834768937
2003;13115;"Lo Barnechea";"Gran Santiago";3469,21075455334
2003;13116;"Lo Espejo";"Gran Santiago";5936,75712043059
2003;13117;"Lo Prado";"Gran Santiago";4888,11831870953
2003;13118;"Macul";"Gran Santiago";4237,25678774876
2003;13119;"Maipú";"Gran Santiago";3370,30681009585
2003;13120;"Ñuñoa";"Gran Santiago";2671,45778632208
2003;13121;"Pedro Aguirre Cerda";"Gran Santiago";5070,36460847952
2003;13122;"Peñalolén";"Gran Santiago";5063,33161282071
2003;13123;"Providencia";"Gran Santiago";3974,1202927135
2003;13124;"Pudahuel";"Gran Santiago";4280,81675329506
2003;13125;"Quilicura";"Gran Santiago";3278,05687695431
2003;13126;"Quinta Normal";"Gran Santiago";4851,07356698829
2003;13127;"Recoleta";"Gran Santiago";6008,34436285213
2003;13128;"Renca";"Gran Santiago";5437,06059840366
2003;13129;"San Joaquín";"Gran Santiago";4928,41837210025
2003;13130;"San Miguel";"Gran Santiago";7718,59270065318
2003;13131;"San Ramón";"Gran Santiago";5492,84227785836
2003;13132;"Vitacura";"Gran Santiago";2762,08492037118
2003;13201;"Puente Alto";"Gran Santiago";3574,07558274699
2003;13401;"San Bernardo";"Gran Santiago";5262,09205087377
2003;14101;"Valdivia";"Valdivia";5375,26074555491
2003;15101;"Arica";"Arica";4898,64864864865
2003;16101;"Chillán";"Chillán";5716,93638564284
2003;16102;"Bulnes";"Chillán";7728,87062435015
2003;16103;"Chillán Viejo";"Chillán";4171,10874200426
2003;16301;"San Carlos";"Chillán";5725,23753211271
2003;16305;"San Nicolás";"Chillán";6177,08333333333
