"comuna","nom_com","city","AVPP"
13122,"Peñalolén","Gran Santiago",5063.33161282071
13123,"Providencia","Gran Santiago",3974.1202927135
13124,"Pudahuel","Gran Santiago",4280.81675329506
13125,"Quilicura","Gran Santiago",3278.05687695431
13126,"Quinta Normal","Gran Santiago",4851.07356698829
13127,"Recoleta","Gran Santiago",6008.34436285213
13128,"Renca","Gran Santiago",5437.06059840366
13129,"San Joaquín","Gran Santiago",4928.41837210025
13130,"San Miguel","Gran Santiago",7718.59270065318
13131,"San Ramón","Gran Santiago",5492.84227785836
13132,"Vitacura","Gran Santiago",2762.08492037118
13201,"Puente Alto","Gran Santiago",3574.07558274699
13401,"San Bernardo","Gran Santiago",5262.09205087377
14101,"Valdivia","Valdivia",5375.26074555491
15101,"Arica","Arica",4898.64864864865
16101,"Chillán","Chillán",5716.93638564284
16102,"Bulnes","Chillán",7728.87062435015
16103,"Chillán Viejo","Chillán",4171.10874200426
16301,"San Carlos","Chillán",5725.23753211271
16305,"San Nicolás","Chillán",6177.08333333333
1101,"Iquique","Iquique - Alto Hospicio",6484.73318154883
1107,"Alto Hospicio","Iquique - Alto Hospicio",48.5527011010039
2101,"Antofagasta","Antofagasta",5187.51825822418
3101,"Copiapó","Copiapo",4949.16020185283
4101,"La Serena","Gran Coquimbo",4372.69439204047
4102,"Coquimbo","Gran Coquimbo",4395.24958466154
5101,"Valparaíso","Valparaíso Metropolitano",6262.94708107244
5103,"Concón","Valparaíso Metropolitano",3109.44527736132
5109,"Viña del Mar","Valparaíso Metropolitano",4215.67322578159
5801,"Quilpué","Valparaíso Metropolitano",4411.89142610944
5804,"Villa Alemana","Valparaíso Metropolitano",4394.99304589708
6101,"Rancagua","Rancagua - Machalí",5704.91468179305
6108,"Machalí","Rancagua - Machalí",5218.81871960851
7101,"Talca","Talca - Maule",9315.03329973716
7105,"Maule","Talca - Maule",4920.93114625282
8101,"Concepción","Gran Concepcion",5623.75040684428
8102,"Coronel","Gran Concepcion",4830.69385780099
8103,"Chiguayante","Gran Concepcion",4236.14516920059
8106,"Lota","Gran Concepcion",6597.72885871979
8107,"Penco","Gran Concepcion",6045.27938342967
8108,"San Pedro de la Paz","Gran Concepcion",4141.4005300274
8110,"Talcahuano","Gran Concepcion",1955.35483382638
8111,"Tomé","Gran Concepcion",5199.37375572608
8112,"Hualpén","Gran Concepcion",1614.55544432286
9101,"Temuco","Temuco",4748.96449349965
9112,"Padre Las Casas","Temuco",5166.06960496669
10101,"Puerto Montt","Puerto Montt - Varas",5481.71602475303
10109,"Puerto Varas","Puerto Montt - Varas",6018.66847265982
11101,"Coihaique","Coyhaique",5309.99470764647
12101,"Punta Arenas","Punta Arenas",5804.40127121185
13101,"Santiago","Gran Santiago",4466.22578105167
13102,"Cerrillos","Gran Santiago",5002.21827861579
13103,"Cerro Navia","Gran Santiago",5818.27219130987
13104,"Conchalí","Gran Santiago",6112.22143748028
13105,"El Bosque","Gran Santiago",4784.64724497394
13106,"Estación Central","Gran Santiago",5401.53756206532
13107,"Huechuraba","Gran Santiago",4359.46022072568
13108,"Independencia","Gran Santiago",8334.43732980054
13109,"La Cisterna","Gran Santiago",4312.4940070956
13110,"La Florida","Gran Santiago",3916.62427300601
13111,"La Granja","Gran Santiago",5504.43081117928
13112,"La Pintana","Gran Santiago",5430.51315713164
13113,"La Reina","Gran Santiago",3583.19780878199
13114,"Las Condes","Gran Santiago",2400.97334512642
13115,"Lo Barnechea","Gran Santiago",3932.93105403056
13116,"Lo Espejo","Gran Santiago",6410.52355024868
13117,"Lo Prado","Gran Santiago",5235.71835446093
13118,"Macul","Gran Santiago",3618.72283641149
