"agno";"comuna";"nom_com";"city";"AVPP"
2008;1101;"Iquique";"Iquique - Alto Hospicio";6525,88866613045
2008;1107;"Alto Hospicio";"Iquique - Alto Hospicio";3463,85364065327
2008;2101;"Antofagasta";"Antofagasta";5583,6521178771
2008;3101;"Copiapó";"Copiapo";5056,67452629187
2008;4101;"La Serena";"Gran Coquimbo";5001,44149738313
2008;4102;"Coquimbo";"Gran Coquimbo";3901,3707518858
2008;5101;"Valparaíso";"Valparaíso Metropolitano";5536,73062254298
2008;5103;"Concón";"Valparaíso Metropolitano";3657,61159648285
2008;5109;"Viña del Mar";"Valparaíso Metropolitano";4535,39146910419
2008;5801;"Quilpué";"Valparaíso Metropolitano";4445,81382590987
2008;5804;"Villa Alemana";"Valparaíso Metropolitano";4060,48510899601
2008;6101;"Rancagua";"Rancagua - Machalí";6362,98230292719
2008;6108;"Machalí";"Rancagua - Machalí";3916,68378878159
2008;7101;"Talca";"Talca - Maule";5290,29933238214
2008;7105;"Maule";"Talca - Maule";3400,37977354244
2008;8101;"Concepción";"Gran Concepcion";4931,93244871097
2008;8102;"Coronel";"Gran Concepcion";4151,2555503789
2008;8103;"Chiguayante";"Gran Concepcion";3956,65536887885
2008;8106;"Lota";"Gran Concepcion";7055,24874132233
2008;8107;"Penco";"Gran Concepcion";4462,4079915878
2008;8108;"San Pedro de la Paz";"Gran Concepcion";4555,33330768935
2008;8110;"Talcahuano";"Gran Concepcion";5113,46881000282
2008;8111;"Tomé";"Gran Concepcion";5009,02007446359
2008;8112;"Hualpén";"Gran Concepcion";4612,3785989311
2008;9101;"Temuco";"Temuco";4878,02051341485
2008;9112;"Padre Las Casas";"Temuco";5219,28290004107
2008;10101;"Puerto Montt";"Puerto Montt - Varas";5863,88495037472
2008;10109;"Puerto Varas";"Puerto Montt - Varas";5320,03773076405
2008;11101;"Coihaique";"Coyhaique";5792,39079379991
2008;12101;"Punta Arenas";"Punta Arenas";5980,20829844948
2008;13101;"Santiago";"Gran Santiago";3721,88482261172
2008;13102;"Cerrillos";"Gran Santiago";4610,27570600287
2008;13103;"Cerro Navia";"Gran Santiago";5165,28630076242
2008;13104;"Conchalí";"Gran Santiago";5547,2611800017
2008;13105;"El Bosque";"Gran Santiago";5580,15890518737
2008;13106;"Estación Central";"Gran Santiago";4984,96800883932
2008;13107;"Huechuraba";"Gran Santiago";4413,32735129519
2008;13108;"Independencia";"Gran Santiago";6382,12416156802
2008;13109;"La Cisterna";"Gran Santiago";3571,63920310454
2008;13110;"La Florida";"Gran Santiago";3937,45019038342
2008;13111;"La Granja";"Gran Santiago";5798,24300537708
2008;13112;"La Pintana";"Gran Santiago";5300,15759551202
2008;13113;"La Reina";"Gran Santiago";3868,64891357621
2008;13114;"Las Condes";"Gran Santiago";2399,18755970874
2008;13115;"Lo Barnechea";"Gran Santiago";2466,84744676713
2008;13116;"Lo Espejo";"Gran Santiago";6044,94424565987
2008;13117;"Lo Prado";"Gran Santiago";5765,33782294109
2008;13118;"Macul";"Gran Santiago";3880,9592175097
2008;13119;"Maipú";"Gran Santiago";3516,62160236221
2008;13120;"Ñuñoa";"Gran Santiago";2685,1237095836
2008;13121;"Pedro Aguirre Cerda";"Gran Santiago";4848,2964553838
2008;13122;"Peñalolén";"Gran Santiago";4577,38879174026
2008;13123;"Providencia";"Gran Santiago";3291,61354115167
2008;13124;"Pudahuel";"Gran Santiago";4507,56318459861
2008;13125;"Quilicura";"Gran Santiago";3970,97150251161
2008;13126;"Quinta Normal";"Gran Santiago";4826,77019058702
2008;13127;"Recoleta";"Gran Santiago";5423,22430783996
2008;13128;"Renca";"Gran Santiago";4677,85210889708
2008;13129;"San Joaquín";"Gran Santiago";4802,64001025247
2008;13130;"San Miguel";"Gran Santiago";4275,65686975061
2008;13131;"San Ramón";"Gran Santiago";5184,10417602155
2008;13132;"Vitacura";"Gran Santiago";2590,74624201548
2008;13201;"Puente Alto";"Gran Santiago";4257,72038180797
2008;13401;"San Bernardo";"Gran Santiago";4749,57044515495
2008;14101;"Valdivia";"Valdivia";5279,29871698318
2008;15101;"Arica";"Arica";4915,21862781772
2008;16101;"Chillán";"Chillán";5564,98314900081
2008;16102;"Bulnes";"Chillán";7346,17098163457
2008;16103;"Chillán Viejo";"Chillán";4357,71719945087
2008;16301;"San Carlos";"Chillán";4955,4577000345
2008;16305;"San Nicolás";"Chillán";5472,83305393945
