"codcomuna","dato"
1101,4424.30542239805
1107,3584.03756679068
2101,4226.24259627162
3101,3863.01836558299
4101,3460.66344744486
4102,3613.78540532998
5101,4607.53493540379
5103,3533.86928326816
5109,3969.79754189383
5801,3253.40721575977
5804,3859.75753534926
6101,5020.08532111615
6108,3310.52544217185
7101,4494.36119837276
7105,3171.35161792041
8101,3921.92873310958
8102,3763.25604578814
8103,3053.22725765971
8106,4838.55717865078
8107,4730.18421680734
8108,3084.75994144185
8110,4164.04905629456
8111,3837.59103430059
8112,3642.77188478256
9101,3622.9617244665
9112,4506.3351661487
10101,4032.57527714673
10109,2636.98089373125
11101,3558.28865762641
12101,4159.05042663908
13101,3062.38728028067
13102,3915.38203545209
13103,5417.40401631146
13104,4498.99081971483
13105,4972.90948357519
13106,3674.72812855056
13107,4393.21832242713
13108,6171.46099706208
13109,3692.65664870995
13110,3355.31167909221
13111,4241.04594905476
13112,4946.20059095724
13113,2469.20536891574
13114,2268.02519477856
13115,1265.84590655025
13116,6051.46406388642
13117,4555.81850206935
13118,3263.03430882289
13119,3223.05193083966
13120,2625.24004041778
13121,5061.59476315654
13122,3386.46815004227
13123,2338.2702559029
13124,3785.25057534435
13125,3127.29655306753
13126,4144.52616391597
13127,4786.74937903316
13128,4158.37294010914
13129,4322.09902294434
13130,3815.94325007474
13131,5383.38333248589
13132,1939.40898932208
13201,3462.50603511803
13401,4234.27464440804
14101,3697.18309859155
15101,4454.14532398084
16101,4345.75029145617
16102,4668.78513810804
16103,2223.59080742926
16301,4628.98854622065
16305,3161.18360595479
