"codcomuna","dato"
1101,5478.86828111393
1107,3228.88318030369
2101,4923.70169023082
3101,4672.19346726321
4101,3875.12771815993
4102,3888.46309904874
5101,5479.59885005654
5103,4816.62024141133
5109,4338.54073225597
5801,3942.31949901768
5804,3248.09608080969
6101,5656.9979976854
6108,3334.83045138109
7101,4341.27400978799
7105,2437.71433293393
8101,4842.57780302783
8102,4370.22770157309
8103,4327.10520205785
8106,6631.04624139354
8107,4483.17439438781
8108,4539.62209482812
8110,4884.29224509798
8111,3872.03764052527
8112,4548.5568858812
9101,5129.2522883722
9112,4416.15121353889
10101,6658.62264763141
10109,4941.15659665522
11101,4905.83406850524
12101,5750.27335836646
13101,3536.07828727252
13102,4287.21188275177
13103,5233.90230704904
13104,4517.00452081634
13105,4965.37836501095
13106,6122.59169901046
13107,4628.34477423158
13108,6416.17196072363
13109,4121.45700873492
13110,3709.11037645773
13111,4565.46435671684
13112,5700.23548968001
13113,2998.15448374111
13114,2611.74652114709
13115,2670.16773976955
13116,5966.62468513854
13117,5080.89500860585
13118,3907.40345240638
13119,3328.36228358616
13120,3111.89407978153
13121,5510.77995610557
13122,4510.778103643
13123,4061.56477126977
13124,4711.37891887171
13125,4466.87962561291
13126,5044.34535715331
13127,5347.32357152244
13128,5571.4306435938
13129,4241.82296009372
13130,4325.80894343833
13131,4699.33647424055
13132,3283.76861864926
13201,3780.19906673103
13401,5384.03001518175
14101,4954.3135980979
15101,4792.0040671499
16101,5808.14005956141
16102,6300.54075507268
16103,4425.68958419103
16301,5459.91647142712
16305,2102.40418468967
