"codcomuna","dato"
1101,5106.69791538177
1107,3209.34310226063
2101,4844.6961135366
3101,4968.02523014437
4101,4557.31882915015
4102,4221.76001584708
5101,4995.08237472665
5103,3612.32782732598
5109,3774.22288169812
5801,3333.50132836068
5804,3782.61375121868
6101,5579.68067381237
6108,3779.48593705262
7101,4303.78415587892
7105,3388.17181548879
8101,3883.86733237572
8102,4318.53984464121
8103,3911.41788898476
8106,6098.56450580598
8107,4633.2214618838
8108,4274.43414107588
8110,4329.99484843011
8111,3905.59732664996
8112,3895.41088580576
9101,3909.25269564957
9112,3541.62193114308
10101,5126.69936992507
10109,3684.65513814351
11101,3405.69607647879
12101,4985.7074215537
13101,3195.36176968485
13102,4163.68392966381
13103,5476.64936990363
13104,5417.17512502094
13105,4645.84454336448
13106,5270.6656028626
13107,4464.39376437066
13108,6525.07274900687
13109,4091.39151631075
13110,3684.12858167583
13111,4280.844806844
13112,5137.42291676926
13113,3122.22123421661
13114,2240.2214392006
13115,2451.00100942126
13116,6043.21103732222
13117,4924.59378615277
13118,3592.77600300237
13119,3224.89624604677
13120,3272.2677767506
13121,5643.93156843648
13122,4291.5167891503
13123,2887.9267932697
13124,4262.17129652794
13125,4018.20573983549
13126,4276.75017108928
13127,5752.79444073306
13128,4730.94044852591
13129,4870.59747741457
13130,3874.06091479206
13131,5618.08402246286
13132,2044.39102973892
13201,3614.2133802564
13401,4813.67707754514
14101,4296.23834669796
15101,5043.00746627079
16101,4759.87119262243
16102,5202.2836893395
16103,4300.92059838895
16301,5267.49136476825
16305,4056.11757969078
