"codcomuna","dato"
1101,5010.22604375248
1107,3300.49732211171
2101,4552.97309851416
3101,4325.61374316709
4101,4272.40972318455
4102,3916.65273831411
5101,4737.3580735433
5103,3992.29911845172
5109,3917.85830171525
5801,3965.33135440149
5804,4090.44368600683
6101,4781.94436145422
6108,3825.10374691766
7101,4509.01756386754
7105,4157.91684166317
8101,4557.81843286158
8102,3901.38316967585
8103,4496.06683406919
8106,5459.83701979045
8107,4370.51532941944
8108,3753.0457896902
8110,4498.86952872209
8111,4161.5458791053
8112,4169.91470372253
9101,4790.9675717656
9112,4375.29246607394
10101,4494.77775588158
10109,3740.28306121967
11101,3712.5982851247
12101,4648.52426532863
13101,2839.62110334454
13102,4093.28219403004
13103,5132.80826260666
13104,5571.08086180474
13105,4371.22267985825
13106,4937.07349384599
13107,4092.42175323308
13108,5823.3927886892
13109,4193.36457618643
13110,3978.37499371041
13111,5225.89491294487
13112,5634.76351295147
13113,2695.13674022191
13114,2409.19992343406
13115,2091.98753794536
13116,6337.06021130372
13117,4112.55878165581
13118,3527.49047359826
13119,3299.92098780733
13120,2755.49536410043
13121,4861.4437570705
13122,4415.98952843981
13123,3263.68284830503
13124,4361.1591887454
13125,3882.44278570197
13126,4965.01640152449
13127,5643.1935731617
13128,4605.13097638199
13129,4908.5883645809
13130,4030.46938509248
13131,5717.67878570457
13132,1973.05597852737
13201,4012.65013272127
13401,4468.67259511918
14101,4434.50527947548
15101,4784.76083233631
16101,5083.60332600766
16102,4239.86652272058
16103,3204.38602465436
16301,5874.72571314582
16305,5365.16853932584
