"codcomuna","dato"
13108,8334.43732980054
13109,4312.4940070956
13110,3916.62427300601
13111,5504.43081117928
13112,5430.51315713164
13113,3583.19780878199
13114,2400.97334512642
13115,3932.93105403056
13116,6410.52355024868
13117,5235.71835446093
13118,3618.72283641149
13119,3490.25570488706
13120,3005.02207435706
13121,4975.58245547522
13122,4623.00545161466
13123,3375.15043215054
13124,4638.87578518758
13125,4234.43275518908
13126,5216.25189081905
13127,5866.18592469132
13128,4611.11438331959
13129,4943.7617163091
13130,4468.11240857179
13131,5924.10505256885
13132,2899.97448328655
13201,4094.83392879215
13401,5225.07191450663
14101,5261.8990672088
15101,5005.2929288609
16101,6583.35315536201
16102,4702.14771092704
16103,385.181338180559
16301,5671.27032375201
16305,4762.39456901872
1101,5152.9178685573
1107,3186.08157329455
2101,4752.78378753895
3101,4482.99400486734
4101,3833.46879159452
4102,4478.10130805425
5101,4905.70094947855
5103,3173.10527867886
5109,4389.83180481293
5801,3927.33081074375
5804,3741.29695595855
6101,6089.99385502479
6108,4557.36450083905
7101,4896.82344250185
7105,3260.91845454954
8101,4580.02476192249
8102,4508.92059774951
8103,3858.20986898494
8106,6049.62364092556
8107,5318.40294517246
8108,4232.11498089035
8110,4934.26930440332
8111,4837.8686340022
8112,4579.68323954284
9101,4435.12955090603
9112,4802.23285486443
10101,6554.33928283286
10109,4016.35332392825
11101,3976.83248101658
12101,5433.25407174452
13101,4073.33553535675
13102,5121.97132025713
13103,5573.66317050409
13104,4803.48684110961
13105,4907.13541727621
13106,5578.75162275008
13107,3997.99473618248
13108,6602.72749528377
13109,3530.56281395044
13110,3813.74490743164
13111,4726.2865003439
13112,5108.99002051016
13113,3061.91514734795
13114,2862.72602095924
13115,2638.78822127492
13116,5053.66890134447
13117,4117.54389383635
13118,4109.77975367309
13119,3351.54804515277
13120,2875.83971787963
13121,5500.15964968298
13122,4769.31029058139
13123,3980.52562773295
13124,4551.36604781045
13125,4594.2068588605
13126,5307.41445605313
13127,5060.11679835108
13128,5409.82768318249
13129,5114.70871954033
13130,4513.07009181677
13131,4724.41794006319
13132,2504.97423600837
13201,3845.46051904704
13401,4750.48703731455
14101,4495.34567513858
15101,4552.29017738946
16101,4660.92455298735
16102,6394.16637730046
16103,3447.11193620522
16301,6375.03823799327
16305,8604.55655004068
1101,5478.86828111393
1107,3228.88318030369
2101,4923.70169023082
3101,4672.19346726321
4101,3875.12771815993
4102,3888.46309904874
5101,5479.59885005654
5103,4816.62024141133
5109,4338.54073225597
5801,3942.31949901768
5804,3248.09608080969
6101,5656.9979976854
6108,3334.83045138109
7101,4341.27400978799
7105,2437.71433293393
8101,4842.57780302783
8102,4370.22770157309
8103,4327.10520205785
8106,6631.04624139354
8107,4483.17439438781
8108,4539.62209482812
8110,4884.29224509798
8111,3872.03764052527
8112,4548.5568858812
9101,5129.2522883722
9112,4416.15121353889
10101,6658.62264763141
10109,4941.15659665522
11101,4905.83406850524
12101,5750.27335836646
13101,3536.07828727252
13102,4287.21188275177
13103,5233.90230704904
13104,4517.00452081634
13105,4965.37836501095
13106,6122.59169901046
13107,4628.34477423158
13108,6416.17196072363
13109,4121.45700873492
13110,3709.11037645773
13111,4565.46435671684
13112,5700.23548968001
13113,2998.15448374111
13114,2611.74652114709
13115,2670.16773976955
13116,5966.62468513854
13117,5080.89500860585
13118,3907.40345240638
13119,3328.36228358616
13120,3111.89407978153
13121,5510.77995610557
13122,4510.778103643
13123,4061.56477126977
13124,4711.37891887171
13125,4466.87962561291
13126,5044.34535715331
13127,5347.32357152244
