"codcomuna","dato"
1101,5271.22263457892
1107,4115.44102448003
2101,4798.19557005544
3101,4431.60176003152
4101,4454.61464899783
4102,3721.67594002438
5101,4551.48871610089
5103,3171.54596815614
5109,4004.15528601571
5801,3715.87479947138
5804,3500.07367663757
6101,5095.59896203153
6108,3579.61704500857
7101,4090.88540309552
7105,3096.54768870685
8101,4290.29671210906
8102,4808.97319763414
8103,3743.55793090284
8106,5958.36324479541
8107,4117.8775083794
8108,4276.37434660884
8110,4503.62313951449
8111,4186.62778587794
8112,4264.17998279842
9101,4232.96429243386
9112,4973.01518680185
10101,4961.12266821267
10109,3821.21241233548
11101,4596.9198848087
12101,4905.73932074379
13101,3033.28732070077
13102,5121.19649303765
13103,5466.25497585857
13104,5851.84643272287
13105,5450.41494162265
13106,4769.10541078396
13107,4244.67812259554
13108,5696.75925925926
13109,3518.31363186397
13110,3516.4571310512
13111,5182.68738261909
13112,5792.84290061916
13113,2937.29930708129
13114,1982.93087040428
13115,2405.92791364274
13116,6491.75473114136
13117,4169.02310195806
13118,3412.56830601093
13119,3124.993924217
13120,2613.63094386417
13121,5660.66262813599
13122,4297.58204979338
13123,2620.05937947647
13124,4444.26545670958
13125,4062.7894851404
13126,4825.16881405144
13127,5429.91069901119
13128,5245.48216855909
13129,4564.23285098862
13130,3824.00935989409
13131,5680.26546945149
13132,2639.74555428218
13201,4210.72710991164
13401,4853.02719843466
14101,4551.21963718356
15101,4705.53067112056
16101,4658.16375982804
16102,4147.82779634362
16103,3691.76372712146
16301,3997.84008639654
16305,1602.26201696513
