"codcomuna","dato"
1101,4501.21525943147
1107,3613.72919360991
2101,4836.90574141995
3101,4066.34942916567
4101,4113.67054094697
4102,3801.5739435018
5101,4785.41992326275
5103,3890.29177188289
5109,3899.76677333623
5801,3178.09397612094
5804,2725.4162079485
6101,4544.08883359359
6108,2751.04235670031
7101,4476.6463360321
7105,2798.022953841
8101,3846.33065480021
8102,3937.16583370402
8103,3241.13112982339
8106,5907.54827384435
8107,3095.94160076475
8108,4022.96179232128
8110,4740.91980091125
8111,4411.7924795558
8112,4187.77287649906
9101,4223.99359394336
9112,4292.74393062012
10101,4488.14219464295
10109,4219.85073585827
11101,3636.84629678789
12101,4681.5261362735
13101,3036.98834717217
13102,4379.9250248642
13103,5008.66484384026
13104,5001.19566920368
13105,5430.55022614187
13106,4371.28410709307
13107,4434.16672715772
13108,5571.81878529998
13109,4238.95899053628
13110,3288.57221156481
13111,5095.63567032029
13112,4789.65590176892
13113,2749.53605137021
13114,2506.39101922863
13115,2083.02743762175
13116,5463.83525583227
13117,4951.84197638352
13118,3541.29251762073
13119,2938.67474178585
13120,2464.34794160778
13121,4981.37515177708
13122,3717.74711710798
13123,3575.02986301795
13124,4311.72191637953
13125,3611.19628962398
13126,4129.15447520444
13127,6175.57574902783
13128,5505.07454860321
13129,3744.40510388135
13130,4075.53600987296
13131,4854.62455647638
13132,2202.64885289452
13201,3762.81652336267
13401,4313.19793726805
14101,4092.3921944091
15101,4938.71866295265
16101,4831.38543606827
16102,4931.85606432003
16103,2595.18467669022
16301,4607.57982691734
16305,5070.23909200856
