"agno";"comuna";"nom_com";"city";"dato"
"2009";1101;"Iquique";"Iquique - Alto Hospicio";45,8
"2009";1107;"Alto Hospicio";"Iquique - Alto Hospicio";44,3
"2009";2101;"Antofagasta";"Antofagasta";43,6
"2009";3101;"Copiapó";"Copiapo";47,3
"2009";4101;"La Serena";"Gran Coquimbo";47,7
"2009";4102;"Coquimbo";"Gran Coquimbo";47,9
"2009";5101;"Valparaíso";"Valparaíso Metropolitano";51,2
"2009";5103;"Concón";"Valparaíso Metropolitano";47,1
"2009";5109;"Viña del Mar";"Valparaíso Metropolitano";47,9
"2009";5801;"Quilpué";"Valparaíso Metropolitano";43,7
"2009";5804;"Villa Alemana";"Valparaíso Metropolitano";43,3
"2009";6101;"Rancagua";"Rancagua - Machalí";46,1
"2009";6108;"Machalí";"Rancagua - Machalí";40,6
"2009";7101;"Talca";"Talca - Maule";45,9
"2009";7105;"Maule";"Talca - Maule";43
"2009";8101;"Concepción";"Gran Concepcion";47,6
"2009";8102;"Coronel";"Gran Concepcion";47,8
"2009";8103;"Chiguayante";"Gran Concepcion";49,7
"2009";8106;"Lota";"Gran Concepcion";48,1
"2009";8107;"Penco";"Gran Concepcion";49,2
"2009";8108;"San Pedro de la Paz";"Gran Concepcion";49,1
"2009";8110;"Talcahuano";"Gran Concepcion";51,4
"2009";8111;"Tomé";"Gran Concepcion";48,8
"2009";8112;"Hualpén";"Gran Concepcion";49,4
"2009";9101;"Temuco";"Temuco";49
"2009";9112;"Padre Las Casas";"Temuco";48,9
"2009";10101;"Puerto Montt";"Puerto Montt - Varas";54,1
"2009";10109;"Puerto Varas";"Puerto Montt - Varas";50,3
"2009";11101;"Coihaique";"Coyhaique";55,7
"2009";12101;"Punta Arenas";"Punta Arenas";55,4
"2009";13101;"Santiago";"Gran Santiago";46,3
"2009";13102;"Cerrillos";"Gran Santiago";47,2
"2009";13103;"Cerro Navia";"Gran Santiago";46,8
"2009";13104;"Conchalí";"Gran Santiago";44,3
"2009";13105;"El Bosque";"Gran Santiago";43,8
"2009";13106;"Estación Central";"Gran Santiago";42,8
"2009";13107;"Huechuraba";"Gran Santiago";38,9
"2009";13108;"Independencia";"Gran Santiago";47,4
"2009";13109;"La Cisterna";"Gran Santiago";42,5
"2009";13110;"La Florida";"Gran Santiago";44,4
"2009";13111;"La Granja";"Gran Santiago";44,8
"2009";13112;"La Pintana";"Gran Santiago";45,3
"2009";13113;"La Reina";"Gran Santiago";45,8
"2009";13114;"Las Condes";"Gran Santiago";40,3
"2009";13115;"Lo Barnechea";"Gran Santiago";46,3
"2009";13116;"Lo Espejo";"Gran Santiago";44,2
"2009";13117;"Lo Prado";"Gran Santiago";47,8
"2009";13118;"Macul";"Gran Santiago";52,8
"2009";13119;"Maipú";"Gran Santiago";46,7
"2009";13120;"Ñuñoa";"Gran Santiago";43,9
"2009";13121;"Pedro Aguirre Cerda";"Gran Santiago";48,5
"2009";13122;"Peñalolén";"Gran Santiago";43,9
"2009";13123;"Providencia";"Gran Santiago";47,3
"2009";13124;"Pudahuel";"Gran Santiago";45,5
"2009";13125;"Quilicura";"Gran Santiago";44,3
"2009";13126;"Quinta Normal";"Gran Santiago";47,1
"2009";13127;"Recoleta";"Gran Santiago";43,1
"2009";13128;"Renca";"Gran Santiago";43,3
"2009";13129;"San Joaquín";"Gran Santiago";48,9
"2009";13130;"San Miguel";"Gran Santiago";45,9
"2009";13131;"San Ramón";"Gran Santiago";34,7
"2009";13132;"Vitacura";"Gran Santiago";51,1
"2009";13201;"Puente Alto";"Gran Santiago";43,6
"2009";13401;"San Bernardo";"Gran Santiago";44,7
"2009";14101;"Valdivia";"Valdivia";53,8
"2009";15101;"Arica";"Arica";45,6
"2009";16101;"Chillán";"Chillán";47,2
"2009";16102;"Bulnes";"Chillán";42,4
"2009";16103;"Chillán Viejo";"Chillán";56,1
"2009";16301;"San Carlos";"Chillán";47,4
"2009";16305;"San Nicolás";"Chillán";45,8
