"agno";"comuna";"nom_com";"city";"dato"
"2015";1101;"Iquique";"Iquique - Alto Hospicio";44
"2015";1107;"Alto Hospicio";"Iquique - Alto Hospicio";44,2
"2015";2101;"Antofagasta";"Antofagasta";43,2
"2015";3101;"Copiapó";"Copiapo";45,1
"2015";4101;"La Serena";"Gran Coquimbo";45,3
"2015";4102;"Coquimbo";"Gran Coquimbo";45
"2015";5101;"Valparaíso";"Valparaíso Metropolitano";45,7
"2015";5103;"Concón";"Valparaíso Metropolitano";47,9
"2015";5109;"Viña del Mar";"Valparaíso Metropolitano";46,9
"2015";5801;"Quilpué";"Valparaíso Metropolitano";42,8
"2015";5804;"Villa Alemana";"Valparaíso Metropolitano";44,6
"2015";6101;"Rancagua";"Rancagua - Machalí";44,5
"2015";6108;"Machalí";"Rancagua - Machalí";42,7
"2015";7101;"Talca";"Talca - Maule";44,1
"2015";7105;"Maule";"Talca - Maule";33
"2015";8101;"Concepción";"Gran Concepcion";49,1
"2015";8102;"Coronel";"Gran Concepcion";49,5
"2015";8103;"Chiguayante";"Gran Concepcion";41,2
"2015";8106;"Lota";"Gran Concepcion";44,7
"2015";8107;"Penco";"Gran Concepcion";47,6
"2015";8108;"San Pedro de la Paz";"Gran Concepcion";49,8
"2015";8110;"Talcahuano";"Gran Concepcion";47,5
"2015";8111;"Tomé";"Gran Concepcion";44,9
"2015";8112;"Hualpén";"Gran Concepcion";50
"2015";9101;"Temuco";"Temuco";47,2
"2015";9112;"Padre Las Casas";"Temuco";51,1
"2015";10101;"Puerto Montt";"Puerto Montt - Varas";48,8
"2015";10109;"Puerto Varas";"Puerto Montt - Varas";47,4
"2015";11101;"Coihaique";"Coyhaique";51,1
"2015";12101;"Punta Arenas";"Punta Arenas";43,5
"2015";13101;"Santiago";"Gran Santiago";42,8
"2015";13102;"Cerrillos";"Gran Santiago";45,6
"2015";13103;"Cerro Navia";"Gran Santiago";45,9
"2015";13104;"Conchalí";"Gran Santiago";42,1
"2015";13105;"El Bosque";"Gran Santiago";47,5
"2015";13106;"Estación Central";"Gran Santiago";43,8
"2015";13107;"Huechuraba";"Gran Santiago";35,9
"2015";13108;"Independencia";"Gran Santiago";43,9
"2015";13109;"La Cisterna";"Gran Santiago";44,2
"2015";13110;"La Florida";"Gran Santiago";43
"2015";13111;"La Granja";"Gran Santiago";43,3
"2015";13112;"La Pintana";"Gran Santiago";44,6
"2015";13113;"La Reina";"Gran Santiago";43,3
"2015";13114;"Las Condes";"Gran Santiago";39,3
"2015";13115;"Lo Barnechea";"Gran Santiago";47,8
"2015";13116;"Lo Espejo";"Gran Santiago";47,4
"2015";13117;"Lo Prado";"Gran Santiago";47,3
"2015";13118;"Macul";"Gran Santiago";51,7
"2015";13119;"Maipú";"Gran Santiago";43,8
"2015";13120;"Ñuñoa";"Gran Santiago";41,6
"2015";13121;"Pedro Aguirre Cerda";"Gran Santiago";47
"2015";13122;"Peñalolén";"Gran Santiago";46,6
"2015";13123;"Providencia";"Gran Santiago";40,4
"2015";13124;"Pudahuel";"Gran Santiago";47,2
"2015";13125;"Quilicura";"Gran Santiago";41,9
"2015";13126;"Quinta Normal";"Gran Santiago";43
"2015";13127;"Recoleta";"Gran Santiago";46,1
"2015";13128;"Renca";"Gran Santiago";44
"2015";13129;"San Joaquín";"Gran Santiago";40,8
"2015";13130;"San Miguel";"Gran Santiago";45,2
"2015";13131;"San Ramón";"Gran Santiago";44,9
"2015";13132;"Vitacura";"Gran Santiago";45,5
"2015";13201;"Puente Alto";"Gran Santiago";44,8
"2015";13401;"San Bernardo";"Gran Santiago";43,6
"2015";14101;"Valdivia";"Valdivia";49,5
"2015";15101;"Arica";"Arica";42,6
"2015";16101;"Chillán";"Chillán";46,9
"2015";16102;"Bulnes";"Chillán";40,2
"2015";16103;"Chillán Viejo";"Chillán";52,9
"2015";16301;"San Carlos";"Chillán";53,2
"2015";16305;"San Nicolás";"Chillán";36,8
